;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
6378;El Prodigio;Antioquia;PRESENT;NA;5.6333;-75.6833;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6379;Municipio De Manizales;Caldas;PRESENT;NA;5.083;-75.5;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6380;Reserva Natural Privada - Carpanta - Reserva Biológica;Cundinamarca;PRESENT;NA;4.6333;-74.4666;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6381;Sabana De Bogotá;Bogotá, D.C.;PRESENT;NA;4.5166;-74.45;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6382;Parque Natural Nacional - Tinigua;Meta;PRESENT;NA;3.38;-74.04;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6383;Reserva Nacional Natural - Nukak;Guaviare;PRESENT;NA;2.562833;-72.5666;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;COORDINATE_ROUNDED
6384;El Limoncito;Cauca;PRESENT;NA;2.519006;-76.914948;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6385;P.N.N. Puracé;Cauca;PRESENT;NA;2.25;-76.3333;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6386;El Limoncito;Cauca;PRESENT;NA;2.519006;-76.914948;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6387;Valle De San Salvador;La Guajira;PRESENT;NA;11.0558;-73.3548;NA;NA;2007-04-25/2007-08-25;2007;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6388;Parque Natural Nacional - Araracuara;Amazonas;PRESENT;NA;-0.59937;-72.398646;NA;NA;2007-11-28/2007-11-29;2007;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6389;Municipio De Tamesis;Antioquia;PRESENT;NA;7.5;-74.8666;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6390;Cueva Del Condor;Antioquia;PRESENT;NA;7.257222;-75.759444;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;COORDINATE_ROUNDED
6391;Campus Universidad Nacional De Medellín;Antioquia;PRESENT;NA;6.8564;-75.8689;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6392;Rio Alicante;Antioquia;PRESENT;NA;6.77417;-74.51783;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6393;Cemento Nare;Antioquia;PRESENT;NA;6.295622;-75.228251;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6394;Campus Colegio San José;Antioquia;PRESENT;NA;6.20684;-75.542166;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;COORDINATE_ROUNDED
6395;Río Claro;Antioquia;PRESENT;NA;5.83383;-74.86769;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6396;Río - Claro;Antioquia;PRESENT;NA;5.83333;-74.86667;NA;NA;2004-04-25/2004-08-25;2004;HUMAN_OBSERVATION;Red Nacional de Observadores de Aves (RNOA);NA;GEODETIC_DATUM_ASSUMED_WGS84
6397;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;26/01/1987;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6398;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;26/01/1987;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6399;Cueva del Condor, Reserva rio Claro;Antioquia;PRESENT;NA;5.940098;-74.826374;NA;364;30/04/1985;1985;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6400;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;27/01/1987;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6401;Puerto Triunfo;Antioquia;PRESENT;NA;5.873916;-74.642511;NA;100;01/11/1988;1988;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6402;Medellín;Antioquia;PRESENT;NA;6.235658;-75.575183;NA;1538;1968-10;1968;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;COORDINATE_ROUNDED
6403;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;27/01/1987;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6404;Medellín;Antioquia;PRESENT;NA;6.235658;-75.575183;NA;1538;06/07/1973;1973;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;COORDINATE_ROUNDED
6405;Medellín;Antioquia;PRESENT;NA;6.235658;-75.575183;NA;1538;09/04/1972;1972;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;COORDINATE_ROUNDED
6406;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;1987-03;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6407;Reserva Río Claro;Antioquia;PRESENT;NA;5.899465;-74.856547;NA;308;27/01/1987;1987;PRESERVED_SPECIMEN;Universidad de Antioquia (UdeA);MUA-AVP;INSTITUTION_MATCH_FUZZY
6408;Zona baja del campamento, Rio Guatiquia;Meta;PRESENT;NA;4.470299;-73.663716;NA;NA;21/03/2018;2018;HUMAN_OBSERVATION;Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH);COORDINATE_ROUNDED
6409;NA;Antioquia;PRESENT;NA;5.90374;-74.855402;2203;NA;2017-10-25T15:01:39;2017;HUMAN_OBSERVATION;iNaturalist;Observations;COORDINATE_ROUNDED
6410;Rio Claro Plot;Antioquia;PRESENT;100;5.886829;-74.8638;NA;NA;12/07/2011;2011;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6411;Rio Claro area;Antioquia;PRESENT;30;5.905681;-74.84785;NA;NA;04/10/2011;2011;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6412;Cañón del Río Combeima--El Rancho;Tolima;PRESENT;3;4.615681;-75.33749;NA;NA;02/07/2005;2005;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6413;Finca Calamar - Roncesvalles;Tolima;PRESENT;2;4.027931;-75.571465;NA;NA;01/10/2010;2010;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6414;RN Cañon del Río Claro;Antioquia;PRESENT;1;5.89226;-74.855286;NA;NA;03/12/2015;2015;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6415;Rio Claro;Antioquia;PRESENT;NA;5.905577;-74.85773;NA;NA;10/02/2005;2005;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6416;Rio Claro;Antioquia;PRESENT;NA;5.901134;-74.855774;NA;NA;12/02/2014;2014;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
