"","...1","decimalLatitude","decimalLongitude","bio_01","bio_02","bio_04","bio_12","bio_15","bio_18"
"128",330,4.974848,-74.2894,19.4500007629395,6.90000009536743,36.2999992370605,1764.69995117188,39,217.399993896484
"129",331,4.911683,-75.83225,20.9500007629395,6.5,15,2534.30004882812,27.3999996185303,785.700012207031
"130",339,5.14478,-74.391914,23.75,6.40000009536743,23.2000007629395,1856.40002441406,41,553.299987792969
"131",341,2.30694,-76.25271,12.1499996185303,6.5,58.7000007629395,2369.39990234375,33.5,674.299987792969
"132",354,5.638581,-75.91784,16.9500007629395,7.30000019073486,22.3999996185303,2784.89990234375,24.2999992370605,634.599975585938
"133",364,3.261731,-74.24085,22.4500007629395,8.10000038146973,84.3000030517578,2614.89990234375,43.7000007629395,335.100006103516
"134",365,2.586013,-76.55747,17.9500007629395,7.59999990463257,24.2999992370605,2549.19995117188,45.2999992370605,271.299987792969
"135",370,1.359724,-76.476166,20.4500007629395,7.59999990463257,66.9000015258789,4402.60009765625,21.7000007629395,891.099975585938
"136",381,5.607703,-75.618065,19.25,9,20.1000003814697,2848.10009765625,27.8999996185303,650.900024414062
"137",383,4.215454,-73.81524,22.1499996185303,7.30000019073486,37.5,3219.69995117188,39.2999992370605,751.599975585938
"138",389,4.811368,-75.733246,19.8500003814697,6.69999980926514,16.7000007629395,3104.30004882812,31.2999992370605,972.400024414062
"139",394,5.43681,-74.397224,20.6499996185303,7.69999980926514,28.8999996185303,2825.5,35.0999984741211,548.799987792969
"140",396,5.88734,-74.8499,25.9500007629395,8.69999980926514,56.7000007629395,3183,37.2000007629395,597.299987792969
"141",400,5.933604,-74.81145,25.8500003814697,8.69999980926514,54,3182.19995117188,37.2999992370605,622
"142",419,3.447293,-76.543724,21.6499996185303,7.19999980926514,23.6000003814697,1307.90002441406,42.7999992370605,366.399993896484
"143",421,4.334001,-73.98637,12.9499998092651,7.19999980926514,40.7000007629395,2377.19995117188,35.7999992370605,561.400024414062
"144",426,4.297669,-73.578964,23.1499996185303,7.80000019073486,61.0999984741211,5213.89990234375,46.9000015258789,519.799987792969
"145",430,5.540212,-75.79662,9.55000019073486,8.10000038146973,20.8999996185303,3052.60009765625,26.6000003814697,716.5
"146",434,5.027823,-75.11357,17.25,8.80000019073486,25.6000003814697,2763.5,31.2000007629395,915.799987792969
"147",437,4.929857,-75.74563,18.1499996185303,6.69999980926514,18.6000003814697,3299,29.2999992370605,1030.90002441406
